Date,Open,High,Low,Close,Adj Close,Volume
2019-08-22,672.650024,684.000000,668.099976,682.750000,623.159607,3353812
2019-08-23,684.250000,694.400024,679.400024,683.849976,624.163635,7015461
2019-08-26,689.799988,693.000000,670.200012,691.150024,630.826599,1767289
2019-08-27,689.849976,689.849976,673.200012,676.349976,617.318298,3160545
2019-08-28,676.000000,693.450012,676.000000,690.200012,629.959351,2749273
2019-08-29,684.150024,694.000000,681.000000,691.150024,630.826599,2789979
2019-08-30,693.000000,700.700012,675.849976,693.650024,633.108337,3067856
2019-09-03,698.000000,716.900024,698.000000,704.500000,643.011353,5044667
2019-09-04,705.000000,709.750000,692.200012,703.250000,641.870361,2027768
2019-09-05,710.000000,710.000000,691.049988,695.450012,634.751282,2019839
2019-09-06,716.349976,734.450012,716.349976,721.750000,658.755737,10663234
2019-09-09,723.000000,723.000000,710.000000,712.900024,650.678162,1754023
2019-09-11,718.000000,723.250000,701.250000,703.700012,642.281250,2702792
2019-09-12,701.099976,709.200012,694.000000,705.549988,643.969727,3282740
2019-09-13,705.250000,711.299988,701.000000,709.500000,647.574890,1073430
2019-09-16,710.099976,723.250000,710.099976,719.450012,656.656555,2500556
2019-09-17,719.900024,719.900024,699.150024,705.950012,644.334839,2948429
2019-09-18,710.000000,718.099976,701.900024,716.750000,654.192139,1666369
2019-09-19,715.700012,715.700012,700.000000,703.349976,641.961670,1570183
2019-09-20,701.299988,716.200012,696.049988,700.849976,639.679871,3394351
2019-09-23,703.000000,704.950012,675.099976,682.799988,623.205261,2256769
2019-09-24,686.049988,705.900024,683.700012,703.849976,642.418030,3128057
2019-09-25,704.049988,709.950012,698.000000,705.900024,644.289185,3512690
2019-09-26,705.450012,716.000000,701.799988,713.700012,651.408386,3300104
2019-09-27,710.000000,718.650024,702.049988,704.299988,642.828735,2434719
2019-09-30,704.500000,716.599976,696.200012,714.500000,652.138489,2136186
2019-10-01,715.000000,715.000000,700.000000,704.950012,643.422058,1709480
2019-10-03,705.250000,717.750000,692.549988,702.500000,641.185852,2111319
2019-10-04,705.000000,713.799988,702.549988,708.150024,646.342773,2273166
2019-10-07,708.150024,716.799988,700.700012,704.799988,643.285156,2578403
2019-10-09,702.799988,713.900024,701.849976,711.049988,648.989624,1115851
